Sentence,ProteinName,UniProtId,PhenotypeName,HPOId,type,Label
"In order to elucidate the role of the membrane adenosine triphosphate binding cassette-transporter cMOAT (canalicular multispecific anion transporter) (PROT/ABCC2) in cisplatin resistance of PHENO, the expression of this protein was analyzed in the platinum drug-resistant cell line MeWo CIS 1.",MRP2,Q92887,melanoma,HP:0002861,abs,Bad-CoM
"Our results suggest that p27(PROT) contributes to the BMP-induced growth arrest and neuronal differentiation of PHENO, and BMP treatment might provide a new therapeutic strategy.",KIP1,P46527,neuroblastoma,HP:0003006,abs,Good-CoM
We have observed a wide spectrum of PROT expression among PHENO cell lines and tumor specimens.,CAR,Q9UQ90,cancer,HP:0002664,abs,Good-CoM
"We identified PROT, a coactivator of the androgen receptor and PPARgamma, as a ligand-enhanced coactivator of PPARalpha in the prostate PHENO cell line DU145.",ARA70,Q13772,cancer,HP:0002664,abs,Good-CoM
PROT-TFE3 oncoprotein in papillary PHENO inactivates TFE3 and p53 through cytoplasmic sequestration.,PSF,Q16270,renal cell carcinoma,HP:0005584,abs,Good-CoM
"PROT deficiency is the major cause of congenital PHENO, an autosomic recessive disorder that affects the synthesis of aldosterone and cortisol.",Steroid 21-hydroxylase,P08686,adrenal hyperplasia,HP:0008221,abs,Good-CoM
"The fraction of PROT-positive nuclei (P = 0.0185), the intensity of nuclear staining (P = 0.0496) and a combination of both (P = 0.0070) were associated with survival of ovarian PHENO patients, as evidenced by a univariable proportional hazards model.",APE,Q3V6T2,cancer,HP:0002664,abs,Good-CoM
PROT signaling is impaired in PHENO.,Reelin,P78509,autism,HP:0000717,abs,Good-CoM
"We determined the protein expression levels of estrogen receptor, progesterone receptor, Ki67, p53 and PROT/neu in the core biopsy and the resected PHENO sample from 25 patients receiving neoadjuvant chemotherapy.",HER2,P04626,tumor,HP:0002664,abs,Bad-CoM
Increased PROT gene copy number is associated with response to gefitinib therapy in epidermal growth factor receptor-positive non-small-cell lung PHENO patients.,HER2,P04626,cancer,HP:0002664,abs,Good-CoM
[Association between LMP2/PROT gene polymorphism and the infection of PHENO B virus].,LMP7,P28062,hepatitis,HP:0012115,abs,Good-CoM
"Receptor activator of nuclear factor kappabeta ligand (PROT) has an important role in bone remodelling, and tumour necrosis factor related, apoptosis inducing ligand (TRAIL) can induce apoptosis in PHENO cells.",RANKL,O14788,cancer,HP:0002664,abs,Good-CoM
"In addition, we showed that exogenous PEDF inhibited the growth of cultured human OSE as well as ovarian PHENO cell lines, whereas targeted inhibition of endogenous PROT using small interfering RNA or neutralizing PEDF antibody promoted the growth of these cells, confirming that the growth-inhibitory effect was PEDF specific.",PEDF,P36955,cancer,HP:0002664,abs,Good-CoM
"Deficiency of 17beta-hydroxysteroid dehydrogenase type 3 (17beta-PROT), due to mutations in the gene encoding the enzyme, results in a rare autosomal recessive form of male-to-female PHENO.",HSD3,Q9P0W8,sex reversal,HP:0012245,abs,Good-CoM
"Of 15 patients with PROT/ENL, 7 had precursor B-cell acute lymphoblastic leukemia, 4 had T-cell acute lymphoblastic leukemia, and 4 had acute myeloid PHENO.",MLL,Q03164,leukemia,HP:0001909,abs,Good-CoM
PROT is a hormone secreted by fat cells and has been shown to strongly correlate with both PHENO and insulin resistance in children and adults.,Leptin,P41159,obesity,HP:0001513,abs,Good-CoM
Different expression of PROT/neu oncogene in PHENO and in liver metastasis.,HER2,P04626,breast carcinoma,HP:0003002,abs,Good-CoM
Parallel changes in FN and alpha5beta1 integrin indicated that alterations in PROT and alpha5beta1 integrin in chondrocytes constituted one of the molecular mechanisms during progression of PHENO.,FN,P02751,arthritis,HP:0001369,abs,Good-CoM
"To elucidate the vascular disease mechanisms that result from structural modifications of the ANP gene, we investigated a coding mutation of the PROT gene in PHENO-prone spontaneously hypertensive rats (SHRsp).",ANP,P01160,stroke,HP:0001297,abs,Bad-CoM
This provides a rationale for the beneficial role of BF in improving PHENO and/or cholangitis associated with defective PROT expression and function in various types of cholestatic hepatobiliary diseases.,MDR3,P21439,cholestasis,HP:0001396,abs,Good-CoM
PROT overexpression imparts a metastatic advantage in PHENO.,HER2,P04626,breast cancer,HP:0003002,abs,Good-CoM
"As HCV-infected livers progressed from chronic PHENO through cirrhosis to HCC, hepatocytic pSmad3L/PAI-1 increased with fibrotic stage and necroinflammatory grade, and pSmad3C/p21(PROT) decreased.",WAF1,P38936,hepatitis,HP:0012115,abs,Good-CoM
"PROT, is a member of the ErbB family of receptor tyrosine kinases, that plays a key role in the pathogenesis of breast PHENO, and when overexpressed, can correlate with a particularly aggressive clinical phenotype.",HER2,P04626,cancer,HP:0002664,abs,Good-CoM
"Since inhibitors of Caveolin-1 signalling are available, targeting PROT in breast cancer may represent a potential option for future PHENO treatment.",Caveolin-1,Q03135,breast cancer,HP:0003002,abs,Good-CoM
To determine the incidence of TEL-PROT fusion gene in childhood PHENO (ALL) and to compare the clinical features between TEL-AML1 positive and negative patients.,AML1,Q01196,acute lymphoblastic leukemia,HP:0006721,abs,Bad-CoM
"To investigate the antitumor effect of a benzoquinone ansamycin antibiotic, geldanamycin (GA), against PROT /neu tyrosine kinase-overexpressing human breast PHENO cell line SKBr3.",HER2,P04626,cancer,HP:0002664,abs,Good-CoM
"Separate lines of evidence implicate the cytokine macrophage migration inhibitory factor (PROT) in RA, SLE, and PHENO.",MIF,P03971,atherosclerosis,HP:0002621,abs,Good-CoM
"PROT localizes at the X chromosome, whose mutations might result in Duchenne muscular dystrophy, Becker PHENO and X-linked dilated cardiomyopathy.",Dystrophin,P11532,muscular dystrophy,HP:0003560,abs,Good-CoM
"Notably, PROT mutations cause mental retardation and increased PHENO in humans.",JARID1C,P41229,aggression,HP:0000718,abs,Good-CoM
We concluded that the use of B203.13 in association with CD10 and PROT provides meaningful information for distinguishing normal residual B-cells from leukemic B-lymphoblasts and that recurrence of a CD10(+)/B203.13(+) phenotype after transplantation may be a very early relapse indicator of early B-acute lymphoblastic PHENO.,CD20,P11836,leukemia,HP:0001909,abs,Good-CoM
"The proportion of cases overexpressing PROT by tumor subtype was 72% for esophageal adenocarcinoma, 69% for gastric cardia adenocarcinoma, 52% for non-cardia gastric adenocarcinoma, and 67% for esophageal PHENO.",P53,P04637,squamous cell carcinoma,HP:0002860,abs,Good-CoM
"The purposes of this study were to investigate whether Pacl inhibits the expression of HSP27 in PHENO cells, whether Pacl can sensitize breast cancer cells with PROT overexpression to Dox, and to define a more effective schedule for the combination of Dox with Pacl.",HSP27,P04792,breast cancer,HP:0003002,abs,Good-CoM
Chromosome translocation to generate the PROT-AML1 (also known as ETV6-RUNX1) chimeric fusion gene is a frequent and early or initiating event in childhood PHENO (ALL).,TEL,P41212,acute lymphoblastic leukemia,HP:0006721,abs,Good-CoM
"In this model, p210 BCR/PROT subtype developed only B220(+), CD3e(-), Gr1(-), and Mac1(-) B-cell acute lymphoblastic PHENO but not myeloid leukemia.",ABL,P00519,leukemia,HP:0001909,abs,Good-CoM
"Recent evidence that HER3 is responsible for tumor resistance to therapeutic agents targeting EGFR or PROT/neu, along with the new findings that HER3 is involved in the process of dedifferentiation of gastric cancer (GC) have highlighted the critical role of HER3 in PHENO research.",HER2,P04626,cancer,HP:0002664,abs,Good-CoM
"Tumour necrosis factor-alpha (TNF-alpha) is involved in the physiopathology of severe acute alcoholic PHENO (AAH) binding with TNF receptor types PROT and TNFR2, whose serum concentrations are elevated.",TNFR1,P19438,hepatitis,HP:0012115,abs,Good-CoM
"PHENO cells lacking p53, p16, or PROT escape MDM2-mediated repression of cyclin A expression and growth arrest.",BRG1,P51532,Cancer,HP:0002664,abs,Good-CoM
"In this study, we revealed that FUS/PROT binds to NIIs in the human brains from patients with spinocerebellar PHENO type 1, 2, 3, and dentatorubral-pallidoluysian atrophy.",TLS,P35637,ataxia,HP:0001251,abs,Good-CoM
"These findings suggest that PROT has a dual effect on the activities of RPSDH neurons; that is, facilitation and inhibition, depending on the modality of PHENO signaled through them and its action site.",SOM,Q8TE85,pain,HP:0012531,abs,Good-CoM
[Mass spectrography analysis of differential proteome in childhood TEL/PROT-positive PHENO].,AML1,Q01196,acute lymphoblastic leukemia,HP:0006721,abs,Bad-CoM
We used immunohistochemistry in a cohort of 119 PHENO patients to examine the expression of PROT protein with an anti-PEDF antibody and to measure the microvessel density (MVD) with an anti-CD34 antibody.,PEDF,P36955,breast cancer,HP:0003002,abs,Bad-CoM
"We show here that the nuclear accumulation of p21(cip1) is not only a consequence of its increased levels but to a DNA damage cellular response, which is PHENO telangiectasia and Rad3 related (PROT)/ataxia telangiectasia mutated (ATM) and p53 independent.",ATR,Q9H6X2,ataxia,HP:0001251,abs,Good-CoM
"The MCT-diet induced severe hepatic PHENO, significantly higher serum free fatty acids and impaired hepatic lipid mobilization in PROT-KO mice.",VLCAD,P49748,steatosis,HP:0001397,abs,Good-CoM
We investigated the feasibility/efficacy of oxaliplatin in combination with trastuzumab as first-/second-line treatment of PROT-positive metastatic breast PHENO (MBC).,HER2,P04626,cancer,HP:0002664,abs,Good-CoM
"However, the role of PROT in human gastric PHENO is still unclear.",KIF4,O95239,cancer,HP:0002664,abs,Bad-CoM
"This study aims to evaluate the role of free/total prostate-specific antigen (PROT) ratio, serum total sialic acid level and cathepsin D activity in the differentiation of prostate PHENO and benign prostatic hyperplasia (BPH).",PSA,Q9Y617,cancer,HP:0002664,abs,Bad-CoM
Pharmacological targeting of the tyrosine kinase receptor PROT with the monoclonal antibody trastuzumab has dramatically changed the outlook of HER2-positive PHENO patients.,HER2,P04626,breast cancer,HP:0003002,abs,Good-CoM
"We assessed frequency distributions of the KRAS variant in 415 patients with histologically confirmed breast cancer and 457 controls from Connecticut, USA (study group 1) and association of this variant with breast-PHENO subtypes in 690 Irish women with known oestrogen receptor (ER), progesterone receptor (PR), and PROT statuses, and 360 controls (study group 2).",HER2,P04626,cancer,HP:0002664,abs,Bad-CoM
PROT-negative (ER-) breast PHENO is a heterogeneous disease with limited therapeutic options.,Estrogen receptor,P03372,cancer,HP:0002664,abs,Good-CoM
PROT G-463A polymorphism and risk of lung and prostate PHENO in a Turkish population.,Myeloperoxidase,P05164,cancer,HP:0002664,abs,Good-CoM
"Adaptation of the plasma inhibitory activity assay to detect Aurora, PROT and FLT3 kinase inhibition by AT9283 in pediatric PHENO.",ABL,P00519,leukemia,HP:0001909,abs,Bad-CoM
"In this study, we investigated whether plasma levels of PROT might be a sensitive marker both for the severity of PHENO and vulnerable plaques.",PTX3,O75364,coronary artery disease,HP:0001677,abs,Bad-CoM
"However, sCD44 concentration was a significant predictor of overall survival for patients with PROT-positive breast PHENO, while no difference in overall survival rates was observed in patients with HER2-negative breast cancer.",HER2,P04626,cancer,HP:0002664,abs,Bad-CoM
"Differential roles of trans-phosphorylated EGFR, HER2, PROT, and RET as heterodimerisation partners of MET in lung PHENO with MET amplification.",HER3,P21860,cancer,HP:0002664,abs,Bad-CoM
Murine polyomavirus virus-like particles carrying full-length human PSA protect BALB/c mice from outgrowth of a PROT expressing PHENO.,PSA,Q9Y617,tumor,HP:0002664,abs,Good-CoM
"In addition, a decrease of the epigenetic regulator LSH in a breast PHENO cell line by siRNA treatment reduced DNA methylation and overcame Pol II stalling, whereas overexpression of PROT in a normal breast epithelial cell line increased DNA methylation and resulted in repression.",LSH,P49279,cancer,HP:0002664,abs,Bad-CoM
Human epidermal growth factor receptor 1 (PROT) plays an important role in the pathogenesis of colorectal PHENO.,HER1,P00533,cancer,HP:0002664,abs,Good-CoM
"Therefore, the PROT/MAPK signaling axis might be regarded as a relevant target for adjuvant treatment of GBM with a possible impact on PHENO angiogenesis.",PAR2,Q9NWF4,tumor,HP:0002664,abs,Bad-CoM
"PROT, 1 of 3 E-protein-encoding genes, is implicated in the induction of PHENO through its involvement in the chromosomal translocation 1;19 and consequent expression of the E2A-PBX1 oncoprotein.",E2A,P15923,acute lymphoblastic leukemia,HP:0006721,abs,Good-CoM
[PROT promotes the expression of hTERT via STAT3 in PHENO cells].,Leptin,P41159,breast cancer,HP:0003002,abs,Good-CoM
PROT (IL-6) is one of the major inflammatory interleukins that has been linked to PHENO progression.,Interleukin-6,P05231,cancer,HP:0002664,abs,Good-CoM
Partial PHENO to Submicron Topography in NF1 Haploinsufficient Cultured Fibroblasts Indicates a New Function of PROT in Regulation of Mechanosensoric.,Neurofibromin,P21359,Blindness,HP:0000618,abs,Bad-CoM
The concomitant occurrence of JAK2V617F mutation and BCR/PROT transcript with phenotypic expression - an overlapping PHENO or two distinct diseases?,ABL,P00519,myeloproliferative disorder,HP:0005547,abs,Bad-CoM
"However, the PHENO demonstrated moderately (2+) or strongly (3+) positive staining for TFEB, PROT, Ksp-cadherin, and vimentin but negative for TFE3, CD10, HMB45, melan A, CKpan, and CK7.",Cathepsin K,P43235,tumor,HP:0002664,abs,Good-CoM
PROT (RBP4) is adipocyte-derived secreted adipokines and elevated RBP4 expression level was closely related to PHENO and type II diabetes mellitus.,Retinol-binding protein 4,P02753,insulin resistance,HP:0000855,abs,Good-CoM
The rational of using ZD6474 is to evaluate the feasibility and efficacy of combined PROT and EGFR targeting with concurrent targeted and localized UV-B phototherapy in vitro breast cancer cells with the anticipation to cure skin lesions infiltrated with breast PHENO cells.,VEGFR2,P35968,cancer,HP:0002664,abs,Bad-CoM
TLS/FUS-PROT chimeric fusion transcript resulting from translocation changes involving chromosomes 16 and 21 is a rare genetic event associated with PHENO (AML).,ERG,Q12809,acute myeloid leukemia,HP:0004808,abs,Good-CoM
To assess the Gene-Environmental interaction between maternal organochlorine pesticides (OCPs) level and PROT gene polymorphism with the risk of PHENO (PTD).,CYP17,P05093,preterm delivery,HP:0001622,abs,Bad-CoM
"Inflammatory biomarker pentraxin 3 (PROT) in relation to PHENO, body fat depots and weight loss.",PTX3,O75364,obesity,HP:0001513,abs,Bad-CoM
The knowledge of PROT status in primary and metastatic sites may be of potential value for therapeutic decision making in metastatic colon PHENO.,HER2,P04626,cancer,HP:0002664,abs,Good-CoM
"The aim of our study was to investigate whether plasma levels of active VWF, total VWF, ADAMTS13, osteoprotegerin (PROT) and the ratios between VWF and ADAMTS13 are risk factors for first ST-segment elevation PHENO (STEMI).",OPG,O00300,myocardial infarction,HP:0001658,abs,Bad-CoM
"Our data demonstrate that low PROT expression predicts for increased sensitivity of MPM cells to a FAK inhibitor, VS-4718, in vitro and in PHENO xenograft models.",Merlin,P35240,tumor,HP:0002664,abs,Good-CoM
"Gastric PHENO presents high rates of tumor heterogeneity, which may influence the results of PROT testing.",HER2,P04626,cancer,HP:0002664,abs,Bad-CoM
"ER, PR, and PROT are routinely available in breast PHENO specimens.",HER2,P04626,cancer,HP:0002664,abs,Good-CoM
Our study identified miRNA-450b-3p as a new tumor repressor and also provided some evidences suggesting that downregulation of miR-450b-3p expression with concurrent overexpression of PROT may serve as a prognostic biomarker for poor overall survival in PHENO patients.,HER3,P21860,breast cancer,HP:0003002,abs,Good-CoM
PROT (MCT8) deficiency causes severe X-linked intellectual and neuropsychological impairment associated with PHENO tests (TFTs) producing thyroid hormone (TH) deprivation in brain and excess in peripheral tissues.,Monocarboxylate transporter 8,P36021,abnormal thyroid function,HP:0002926,abs,Good-CoM
To determine the value of diffusion weighted imaging (DWI) in the diagnosis of hereditary spinocerebellar ataxia 3 and the Machado Joseph disease (PROT/MJD) and hereditary PHENO 4 (SPG4).,SCA3,P54252,spastic paraplegia,HP:0001258,abs,Bad-CoM
"PROT is suggested to exert beneficial effects via various mechanisms in the treatment of many diseases, such as cancer, neurodegenerative diseases, epilepsy, PHENO and obesity.",MLT,Q9UDY8,diabetes mellitus,HP:0000819,abs,Good-CoM
PROT contributes to podocyte injury of diabetic PHENO via inducing cyclin B1 and Skp2 accumulation.,MAD2B,Q9UI95,nephropathy,HP:0000112,abs,Good-CoM
PROT mutations in early- and late-onset atopic PHENO.,Filaggrin,P20930,dermatitis,HP:0011123,abs,Bad-CoM
Association of gene polymorphisms in RANKL/PROT/OPG system with PHENO and blood pressure in Chinese women.,RANK,Q9Y6Q6,hypertension,HP:0000822,abs,Bad-CoM
"PROT therapy provides the most improved glycemic control and reduction of complications, although PHENO and weight gain may occur.",Insulin,P01308,hypoglycemia,HP:0001943,abs,Good-CoM
BRmet50 was further shown to prospectively predict taxane-anthracycline sensitivity in patients with HER2-negative (PROT-) breast PHENO.,HER2,P04626,cancer,HP:0002664,abs,Bad-CoM
"Downregulation of KAL1 mRNA in HCC was significantly associated with malignant phenotype characteristics, including elevated tumor markers, larger PHENO size, vascular invasion, and hypermethylation of PROT.",KAL1,P23352,tumor,HP:0002664,abs,Good-CoM
PROT (GPC3) represents an attractive target for PHENO (HCC) therapy because it is highly expressed in HCC but not in adult normal tissue.,Glypican-3,P51654,hepatocellular carcinoma,HP:0001402,abs,Good-CoM
"However, expression of EphA2 in leukemias initiated by PROT-AF9 suggested that this protein might be a possible therapy target in this type of PHENO.",MLL,Q03164,leukemia,HP:0001909,abs,Bad-CoM
"Myocardial infarction (MI) results in an increased susceptibility to ventricular PHENO, due in part to decreased inward-rectifier K+ current (PROT), which is mediated primarily by the Kir2.1 protein.",IK1,Q13422,arrhythmias,HP:0011675,abs,Good-CoM
Modulation of the PROT-AMPK Signalling Pathway Underpins Hypoxic Pulmonary Vasoconstriction and Pulmonary PHENO.,LKB1,Q15831,Hypertension,HP:0000822,abs,Good-CoM
"PROT is a large protein implicated in the neurodevelopmental and PHENO autosomal recessive spastic ataxia of Charlevoix-Saguenay (ARSACS), which features the loss of Purkinje neurons in the cerebellum.",Sacsin,Q9NZJ4,neurodegenerative disease,HP:0002180,abs,Good-CoM
An immunohistochemical analysis of the tumor samples revealed that PROT-Fc treatment increased the pericyte coverage of the remaining PHENO vessels and decreased the hypoxia within the tumor.,ALK1,P37023,tumor,HP:0002664,abs,Good-CoM
"In a subset of three adjusted studies that included ER, PR, and PROT status, ever breastfeeding showed a stronger inverse association with triple-negative breast PHENO (OR 0.78; 95% CI 0.66-0.91) among parous women.",HER2,P04626,cancer,HP:0002664,abs,Bad-CoM
"In addition, we propose alternative interpretations for the low expression of PROT found in a majority of Hodgkin-Reed-Sternberg cells in classical Hodgkin PHENO.",CD20,P11836,lymphoma,HP:0002665,abs,Good-CoM
Data from a case-control study of breast cancer (1037 cases and 1050 controls) were used to assess relationships between 21 polymorphisms in two vitamin D-related genes (PROT and VDR) and PHENO risk.,GC,P04062,breast cancer,HP:0003002,abs,Bad-CoM
"Novel mutation in PROT associated with multiple mtDNA deletions, chronic progressive PHENO and premature aging.",C10orf2,Q96RR1,external ophthalmoplegia,HP:0000544,abs,Good-CoM
"PROT (GCK)-PHENO is due to mutations in the glucokinase gene, 3 MODY subtypes are associated with mutations in the hepatocyte nuclear factor (HNF) transcription factors, and 2 others with mutations in ABCC8 and KCNJ11, which encode the subunits of the ATP-dependent potassium channel in pancreatic beta cells.",Glucokinase,P35557,MODY,HP:0004904,abs,Good-CoM
"PHENO gene modules co-expressed with NF1 (NF1-M), Sprouty (SPRY-M) and PTEN (PTEN-M) were identified, their signatures enabled robust clustering of adult diffuse gliomas of WHO grades II-IV from five independent data sets into two subtypes with distinct activities of RAS-PROT-MEK-MAPK cascade and PI3K-AKT pathway (named RMPAhigh and RMPAlow subtypes) in a morphology-independent manner.",RAF,P04049,Glioma,HP:0009733,abs,Bad-CoM
PROT inhibitor NG25 enhances doxorubicin-mediated apoptosis in breast PHENO cells.,TAK1,O43318,cancer,HP:0002664,abs,Good-CoM
Developmental eye defects in X-linked PHENO type 1 are caused by PROT (GPR143) mutations.,G-protein coupled receptor 143,P51810,ocular albinism,HP:0001107,abs,Good-CoM
We have shown that vaccination of rodents with three HER2-peptides representing B-cell epitopes of the extracellular domain of HER2 can induce elevated PROT-specific IgG levels and result in a delayed PHENO onset and reduced tumor growth progression in c-neu transgenic mice.,HER2,P04626,tumor,HP:0002664,abs,Good-CoM
Polymorphisms of the PROT/SLC45A2 gene and susceptibility to PHENO in the French population.,MATP,Q9UMX9,melanoma,HP:0002861,abs,Bad-CoM
Co-targeting translation and proteasome using the combination of Episilvestrol and Bortezomib promoted strong ER stress and rapid killing of colon PHENO cells with mutant RAS/PROT in culture and mice.,RAF,P04049,cancer,HP:0002664,abs,Bad-CoM
"Association of EGFR and KRAS mutations with expression of p-AKT, PROT and DcR1 in non-small cell lung PHENO.",DR5,O14763,cancer,HP:0002664,abs,Bad-CoM
"Therefore, neurologists should bear in mind that clinical presentations of PROT may vary widely from the classical phenotype of gait and limb ataxia to atypical manifestations such as oculomotor PHENO.",FRDA,Q16595,apraxia,HP:0002186,abs,Good-CoM
Immunohistochemical Characterization of Fumarate Hydratase (FH) and Succinate Dehydrogenase (PROT) in Cutaneous Leiomyomas for Detection of Familial PHENO Syndromes.,SDH,P21912,Cancer,HP:0002664,abs,Bad-CoM
"Results from clinical trials, including a long-term cardiovascular outcome study, have shown that sodium glucose co-transporter 2 (PROT) inhibitors can provide multiple cardiometabolic benefits beyond glycaemic control including inducing mild osmotic diuresis, natriuresis and PHENO.",SGLT2,P31639,weight loss,HP:0001824,abs,Good-CoM
